tomoe_id,utc_mu,year_jst_mu,month_jst_mu,day_jst_mu,hour_jst_mu,minute_jst_mu,second_jst_mu,duration,alt_start,alt_end,azimuth_radiant,zenith_radiant,velocity,n_data_interferometry,n_data_doppler,azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso
580511_058,2018-04-18T15:22:26.422,2018,4,19,0,22,26.422240,0.299520,96.453944,90.642778,161.880937,45.381098,27.852875,38,76,232.516817,27.429261,202934.696755,234.259779,26.230351,198483.407946
580521_059,2018-04-18T15:22:26.422,2018,4,19,0,22,26.422240,0.299520,96.453944,90.642778,161.880937,45.381098,27.852875,38,76,232.516817,27.429261,202934.696755,234.259779,26.230351,198483.407946
581212_028,2018-04-18T15:29:44.486,2018,4,19,0,29,44.485840,0.396240,105.482146,99.256988,34.691408,56.682237,29.680230,55,125,234.427378,30.708394,201128.945405,233.445639,27.878744,205809.867810
581213_028,2018-04-18T15:29:44.486,2018,4,19,0,29,44.485840,0.396240,105.482146,99.256988,34.691408,56.682237,29.680230,55,125,234.427378,30.708394,201128.945405,233.445639,27.878744,205809.867810
581312_047,2018-04-18T15:30:56.954,2018,4,19,0,30,56.954080,0.174720,96.332607,91.389162,150.081247,49.194199,44.086103,31,57,231.821669,28.637386,195297.830988,233.749224,27.487392,192131.437448
581426_048,2018-04-18T15:32:00.686,2018,4,19,0,32,0.686320,0.221520,91.117789,87.806093,171.260264,53.215282,25.519234,31,71,232.564760,26.408096,198335.097409,233.817369,25.842564,194905.512529
581426_049,2018-04-18T15:32:00.686,2018,4,19,0,32,0.686320,0.221520,91.117789,87.806093,171.260264,53.215282,25.519234,31,71,232.564760,26.408096,198335.097409,233.817369,25.842564,194905.512529
581426_050,2018-04-18T15:32:00.686,2018,4,19,0,32,0.686320,0.221520,91.117789,87.806093,171.260264,53.215282,25.519234,31,71,232.564760,26.408096,198335.097409,233.817369,25.842564,194905.512529
581511_005,2018-04-18T15:32:41.181,2018,4,19,0,32,41.180800,0.536640,98.894046,90.118400,203.967143,34.167143,19.814530,88,168,232.427049,28.572075,200781.977641,233.349312,27.090724,191910.737423
581814_046,2018-04-18T15:36:23.331,2018,4,19,0,36,23.331040,0.234000,110.722467,104.270291,55.026869,48.472552,43.041861,34,73,234.434766,31.884953,204342.227559,234.498876,29.252554,207266.616341
581916_105,2018-04-18T15:37:56.288,2018,4,19,0,37,56.288320,0.240240,95.773478,92.007022,172.333336,64.665107,43.450465,31,75,231.728552,27.575153,200612.063054,234.122839,27.221723,195035.195568
581916_107,2018-04-18T15:37:56.288,2018,4,19,0,37,56.288320,0.240240,95.773478,92.007022,172.333336,64.665107,43.450465,31,75,231.728552,27.575153,200612.063054,234.122839,27.221723,195035.195568
582111_084,2018-04-18T15:39:51.151,2018,4,19,0,39,51.151120,0.190320,103.885726,97.061022,112.413492,33.308231,42.224445,26,60,234.025367,29.821156,203144.194144,235.247938,27.826580,201672.863544
582211_049,2018-04-18T15:40:49.767,2018,4,19,0,40,49.766560,0.355680,97.103551,92.158609,165.976347,55.012109,24.321648,50,108,231.955558,27.882518,201407.461910,233.990607,27.024866,196580.469973
582212_049,2018-04-18T15:40:49.767,2018,4,19,0,40,49.766560,0.355680,97.103551,92.158609,165.976347,55.012109,24.321648,50,108,231.955558,27.882518,201407.461910,233.990607,27.024866,196580.469973
582216_049,2018-04-18T15:40:49.767,2018,4,19,0,40,49.766560,0.355680,97.103551,92.158609,165.976347,55.012109,24.321648,50,108,231.955558,27.882518,201407.461910,233.990607,27.024866,196580.469973
582216_050,2018-04-18T15:40:49.767,2018,4,19,0,40,49.766560,0.355680,97.103551,92.158609,165.976347,55.012109,24.321648,50,108,231.955558,27.882518,201407.461910,233.990607,27.024866,196580.469973
582226_050,2018-04-18T15:40:49.767,2018,4,19,0,40,49.766560,0.355680,97.103551,92.158609,165.976347,55.012109,24.321648,50,108,231.955558,27.882518,201407.461910,233.990607,27.024866,196580.469973
582232_050,2018-04-18T15:40:49.767,2018,4,19,0,40,49.766560,0.355680,97.103551,92.158609,165.976347,55.012109,24.321648,50,108,231.955558,27.882518,201407.461910,233.990607,27.024866,196580.469973
582313_095,2018-04-18T15:42:15.595,2018,4,19,0,42,15.594640,0.368160,101.063781,99.393605,169.732836,79.346252,24.354256,57,116,232.546023,28.713125,204238.420954,235.056653,28.866878,200010.068463
582321_030,2018-04-18T15:41:42.869,2018,4,19,0,41,42.868960,0.321360,92.972607,89.342559,171.709339,65.955490,29.021553,43,100,231.370980,27.311044,196487.927942,233.785645,26.965815,191055.717825
582325_095,2018-04-18T15:42:15.595,2018,4,19,0,42,15.594640,0.368160,101.063781,99.393605,169.732836,79.346252,24.354256,57,116,232.546023,28.713125,204238.420954,235.056653,28.866878,200010.068463
582325_096,2018-04-18T15:42:15.595,2018,4,19,0,42,15.594640,0.368160,101.063781,99.393605,169.732836,79.346252,24.354256,57,116,232.546023,28.713125,204238.420954,235.056653,28.866878,200010.068463
582332_030,2018-04-18T15:41:42.869,2018,4,19,0,41,42.868960,0.321360,92.972607,89.342559,171.709339,65.955490,29.021553,43,100,231.370980,27.311044,196487.927942,233.785645,26.965815,191055.717825
582412_092,2018-04-18T15:43:17.024,2018,4,19,0,43,17.024320,0.255840,96.956460,91.029627,94.849929,63.620318,54.262839,40,79,232.394996,28.975602,194565.996813,235.042233,26.202077,199503.369895
582422_091,2018-04-18T15:43:17.024,2018,4,19,0,43,17.024320,0.255840,96.956460,91.029627,94.849929,63.620318,54.262839,40,79,232.394996,28.975602,194565.996813,235.042233,26.202077,199503.369895
