,Unnamed: 0,# ID,MJD,YYYY,MM,DD,hh,mm,ssssssss,Duration_s,RA_(deg),Dec_(deg),Az_(deg),Ze_(deg),Az_uncorr_(deg),Ze_uncorr_(deg),Ze_correction_(deg),Obs_initial_vel_(km_per_s),Geocentric_vel_(km_per_s),RCS_(dBsm),SNR_(dB),Start_hgt_(km),End_hgt_(km),Az_of_start_point_(deg),Ze_of_start_point_(deg),Az_of_end_point_(deg),Ze_of_end_point_(deg),Semimajor_axis_(AU), Eccentricity,Perihelion_dist_(AU),Lon_of_asc_node_(deg),Inclination_(deg),Argument_of_periapsis_(deg),Period_(yr),Heliocentric_vel_(km_per_s), Radiant_ecl_lon_(deg), Radiant_ecl_lat_(deg),Sol_lon_(deg),RA_error_(deg),Dec_error_(deg),Az_error_(deg),Ze_error_(deg),Vel_error_(deg),Semimajor_axis_error_(AU),Eccentricity_error, Perihelion_dist_error_(AU),Inclination_error_(deg),Argument_of_periapsis_error_(deg),Period_error_(yr),Heliocentric_vel_error,Ecl_lon_error_(deg),Ecl_lat_error_(deg),Hammer_X,Hammer_Y, Time_from_Perihelion_(days),class,s-YYYY,s-MM,s-DD,s-hh,s-mm,s-ssss,az1(start)[deg]camera,az2(end)[deg]camera,ev1(start)[deg]camera,ev2(end)[deg]camera,flag,mag_iccd,mag_err,mag(original),duration[sec]camera,average_mag_iccd,abs_mag,average_abs_mag,average_abs_mag_err
93,93,1032125,55178.86921,2009,12,13,20,51,39.49736,0.24024,112.148562,33.092608,285.926809,48.77353,286.152085,47.113738,1.257793,35.763062,34.28197,-2.140846,27.845869,97.729098,91.91721,258.781273,7.347828,236.63408,4.736424,1.345912,0.888024,0.15071,261.848842,23.727662,323.186639,1.561439,34.321518,108.775536,11.086931,261.848842,0.560561,0.448667,0.45974,0.348583,0.257475,0.052862,0.004762,0.007052,1.328782,2.006688,0.092074,0.257475,0.560561,0.448667,1.073699,0.200707,-37.858586,J5_Gem  ,2009,12,13,29,51,39.7,238.90802,231.31073,85.073593,85.542526,101,2.761358,0.161616,2.647825,0.116783,3.783333333,2.793332858,3.815308191,0.161616
94,94,1033197,55179.42816,2009,12,14,10,16,32.5936,0.28704,108.557811,24.715636,67.080822,79.528593,67.325662,77.276468,2.377491,35.651947,33.512905,-0.238427,35.371606,102.892424,100.615093,119.969131,4.132835,200.188594,4.580407,1.413081,0.892643,0.151704,262.417465,4.798674,322.513559,1.679772,34.792164,106.819108,2.354642,262.417465,0.226237,0.223364,0.192271,0.082518,0.228982,0.035698,0.003283,0.003233,0.510352,0.654787,0.063679,0.228982,0.226237,0.223364,1.131007,0.042835,-37.544898,  spo   ,2009,12,14,19,16,32.56666667,159.76236,154.368057,86.717316,86.728279,101,6.005505,0.249713,6.811426,2.569228,7.73,5.937934054,7.662429054,0.249713
95,95,1033202,55179.46295,2009,12,14,11,6,39.0048,0.32448,120.427712,36.783407,56.915629,72.538392,57.315206,70.073193,2.663945,31.752164,29.420004,-0.238418,42.491101,97.588764,93.753416,21.711914,4.027987,282.151832,3.453363,0.924153,0.815967,0.170075,262.452867,28.256865,327.24664,0.888414,29.466003,114.951257,15.943976,262.452867,1.684747,1.295172,0.950316,0.756005,1.218193,0.063075,0.025253,0.019126,3.601806,3.4863,0.091273,1.218193,1.684747,1.295172,0.965902,0.286199,-43.244088,J5_Gem  ,2009,12,14,20,6,39.06666667,304.778259,285.109802,87.383636,86.668251,101,4.026929,0.207073,3.548411,0.116783,5.378,4.074559431,5.425630431,0.207073
96,96,1033274,55179.63705,2009,12,14,15,17,20.68664,0.13104,150.593694,24.954355,82.765363,53.659543,82.82089,53.378862,0.498366,60.35498,59.011613,7.574624,51.031126,102.554644,97.798226,70.416752,3.714948,359.194081,0.842894,1.788308,0.814573,0.3316,262.629992,148.658715,298.501438,2.391462,36.692388,143.886332,12.123516,262.629992,0.279652,0.258514,0.242746,0.17918,0.265695,0.089352,0.007578,0.010585,0.762818,3.014587,0.179469,0.265695,0.279652,0.258514,0.494355,0.212854,-42.659862,  spo   ,2009,12,14,24,17,20.7,58.829357,44.183315,88.159851,88.793808,0,2.733272,0.363433,2.372844,0.083416,3.3975,2.673927733,3.338155733,0.363433
97,97,1033311,55179.67624,2009,12,14,16,13,47.46792,0.3744,113.843986,32.680522,100.455601,9.289302,99.810556,9.657715,0.216589,36.878038,35.100788,-15.198924,24.664878,102.904967,89.367674,221.253364,2.23507,241.694519,3.55053,1.36973,0.899132,0.138162,262.669874,24.963101,324.657485,1.603071,34.498208,110.274037,10.905412,262.669874,0.419416,0.446783,2.278104,0.249187,0.027381,0.020475,0.002103,0.004347,0.969554,1.404537,0.035955,0.027381,0.419416,0.446783,1.062969,0.197276,-37.139225,J5_Gem  ,2009,12,14,25,13,47.56666667,227.392242,245.317322,87.434174,85.940491,1,4.167736,0.28305,4.137932,1.317985,5.808076923,4.103901697,5.74424262,0.28305
98,98,1033312,55179.67658,2009,12,14,16,14,16.26552,0.46488,91.962503,35.493832,277.222746,9.116537,277.960236,7.858281,0.427478,26.220485,23.813549,-25.99462,18.414911,104.065348,92.08055,112.493788,1.253348,106.370363,2.422751,1.553611,0.707231,0.454849,262.670213,10.597795,287.366019,1.936482,35.624746,91.633833,12.066964,262.670213,0.482413,0.49039,3.278638,0.362464,0.023106,0.028148,0.003269,0.006525,0.462864,1.943002,0.052618,0.023106,0.482413,0.49039,1.363253,0.223962,-47.419771,  spo   ,2009,12,14,25,14,16.46666667,110.125244,107.873787,87.971313,87.521286,0,6.908113,0.264073,6.689782,0.15015,7.726,6.82106271,7.63894971,0.264073
99,99,1033660,55179.76037,2009,12,14,18,14,55.95216,0.19968,158.915015,12.025387,128.395876,32.484022,128.018331,32.477205,0.223191,68.190648,67.116357,-5.090195,35.702654,113.821812,102.359719,97.174371,3.640511,21.945414,2.161498,2.905948,0.758401,0.702073,262.755469,174.221457,250.415441,4.953725,39.281123,156.031791,2.93489,262.755469,0.064392,0.06102,0.102734,0.031825,0.024435,0.026947,0.002533,0.001763,0.127854,0.508995,0.068909,0.024435,0.064392,0.06102,0.293856,0.051332,-40.409085,  spo   ,2009,12,14,27,14,56,55.025497,32.396961,87.958206,88.006981,0,5.424437,0.301214,5.80283,0.083416,6.5075,5.138923246,6.221986246,0.301214
100,100,1033672,55179.7612,2009,12,14,18,16,7.3752,0.28704,188.210382,14.805484,98.04659,52.634633,97.984068,52.414561,0.429842,64.143938,62.86911,-6.236129,33.95846,117.951676,106.453038,97.171658,3.237692,278.668673,4.247207,1.548,0.433511,0.876925,262.756309,148.114924,129.73715,1.926001,35.595321,181.49857,16.820308,262.756309,0.162011,0.133973,0.083572,0.139207,0.201936,0.042771,0.015645,0.006224,0.220044,3.967113,0.079852,0.201936,0.162011,0.133973,-0.145198,0.292708,37.877761,  spo   ,2009,12,14,27,16,7.366666667,277.439728,277.472137,87.407341,86.666412,1,5.325107,0.173606,4.460738,1.951946,6.991666667,4.963117602,6.629677269,0.173606
101,101,1033725,55179.76424,2009,12,14,18,20,30.3912,0.19344,166.170439,-14.943044,143.658855,58.009413,143.360127,57.714664,0.395128,70.720741,69.646356,-0.870179,46.288055,103.169613,95.949875,132.207933,3.251482,334.496733,3.502128,12.922499,0.923843,0.984144,82.759407,147.235394,358.518239,46.45364,42.271347,173.352997,-19.174438,262.759407,0.059102,0.087659,0.013413,0.09176,0.178786,3.164039,0.017635,6.20E-05,0.161978,0.596167,17.502139,0.178786,0.059102,0.087659,-0.007535,-0.33311,1.058337,  spo   ,2009,12,14,27,20,30.36666667,132.876129,125.073303,86.721123,88.132042,101,5.774949,0.186802,5.663251,0.083416,6.402,5.703691548,6.330742548,0.186802
102,102,1034258,55179.83869,2009,12,14,20,7,42.62912,0.24648,156.995605,32.80294,244.016226,4.466784,241.915659,4.129319,0.032953,64.784664,63.853568,1.063347,43.98016,115.265697,99.377643,177.918306,1.934504,161.494118,2.036433,12.88518,0.954915,0.580927,262.835155,134.38383,260.732545,46.252554,42.2694,146.255127,21.493482,262.835155,0.123351,0.10592,1.099215,0.072689,0.005982,0.644131,0.002403,0.002244,0.200124,0.446819,3.4719,0.005982,0.123351,0.10592,0.440618,0.375381,-38.345441,J5_Com  ,2009,12,14,29,7,42.56666667,179.720154,150.214691,88.042244,87.733513,0,2.232373,0.300809,2.277262,0.383717,4.376956522,1.922634653,4.067218175,0.300809
