,ID,day_tomoe,theta,distance,az1[deg]_sensor,el1[deg]_sensor,az2[deg]_sensor,el2[deg]_sensor,az3[deg]_sensor,el3[deg]_sensor,az4[deg]_sensor,el4[deg]_sensor
59,578823_051,18,26.93336538,1.640760348,235.487309,27.68822313,235.2081261,27.41202204,234.653487,27.85247696,234.9342575,28.12868286
60,578833_049,18,11.02750451,1.58841328,236.3888315,26.96297499,236.1083209,26.68885323,235.5604738,27.13185297,235.8408057,27.40706596
61,578843_050,18,11.7566969,1.349089678,237.2747581,26.22516259,236.9934221,25.95324991,236.4533763,26.40053759,236.7347783,26.67394184
62,579513_060,18,1.274846233,0.080664656,234.8021195,28.23598567,234.5214584,27.95851155,233.9613447,28.39601035,234.2410804,28.67462171
63,580511_058,18,2.055395528,0.150612132,232.9956942,27.55948462,232.7225498,27.27879766,232.1589817,27.70767666,232.4317673,27.98946973
64,580521_059,18,1.600585382,0.133804724,234.115417,26.63634232,233.8405217,26.35844354,233.286474,26.79413343,233.5612564,27.07406723
65,581212_028,18,0.242965824,0.178079412,233.9836013,27.81214393,233.7055467,27.53402041,233.1450951,27.96812347,233.4216517,28.2476099
66,581213_028,18,0.085409008,0.169080032,234.5877841,28.41273083,234.3079051,28.13429188,233.7456754,28.57089784,234.0252617,28.84968295
67,581312_047,18,1.384875539,0.044616695,234.2031959,27.63955866,233.9250682,27.36173353,233.3667402,27.79738793,233.6430528,28.0768599
68,581511_005,18,1.89787249,0.139063983,234.0398336,26.69544345,233.7655843,26.41650915,233.2099587,26.85021456,233.483552,27.13051139
69,581814_046,18,2.278644551,0.233172624,235.1988847,29.00824281,234.9149129,28.73184144,234.3533782,29.17123339,234.6361859,29.44870159
70,582111_084,18,31.82261763,1.877039159,234.0435666,26.69211369,233.7693394,26.41292545,233.2138564,26.84707415,233.4874412,27.12745816
71,582211_049,18,1.30655051,0.110937624,232.9476937,27.55254847,232.6753902,27.27053483,232.1091668,27.69867289,232.3808111,27.98146778
72,582212_049,18,49.25791238,0.825072841,233.5425291,28.15685906,233.2661192,27.87671443,232.7010729,28.30894259,232.9771647,28.58964347
73,582232_050,18,0.00208817,0.146523374,235.365764,26.72413904,235.0888596,26.44708685,234.5373434,26.885829,234.8144875,27.16375924
74,582313_095,18,0.267157613,0.061474232,234.3676051,28.58727769,234.0878935,28.30834387,233.5238825,28.74332277,233.8022099,29.02326193
75,582321_030,18,1.075100792,0.01964426,234.0785892,26.66838017,233.8033569,26.39004628,233.249763,26.82546083,233.5242462,27.10479946
76,582325_095,18,1.318704909,0.052895616,236.5067479,29.04933999,236.2192847,28.77570204,235.6626549,29.22097606,235.9492134,29.49585236
