Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(UT),M(UT),D(UT),H(UT),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta, , , , , ,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180420_001745,1.8,0.250,17.396, CB4_35, 9.0,2018,04,19,15,17,45.140,56.1,39.6,174.765717,1.478077,171.876724,-2.460823,83.681961,36.242081,2642319635,1439653936,1130565773,4116573213,1125188735,3,0.00910,0.00112, spo,0.0,-1.0,-1.0,-1.0,173.702515,0.028048,52,1.00,0.00000,0.00000,-1.000,-1.000,1.000,59.940,17,-1
R05B25, spo,20180420_001831,0.9,0.267,6.040, CB4_35, 9.0,2018,04,19,15,18,31.270,69.8,40.1,168.009613,9.447337,166.627350,8.846104,57.476978,64.619484,1194913037,204029244,1369318767,704229207,1372494230,3,0.00570,0.10149, spo,0.0,-1.0,-1.0,-1.0,167.339493,9.156767,36,0.29,0.00000,0.00000,-1.000,-1.000,1.000,59.940,19,-1
R05B25, spo,20180420_002037,2.9,0.334,3.696, CB4_35, 9.0,2018,04,19,15,20,37.330,44.8,38.3,181.498856,-4.969243,180.367737,-5.119245,124.376968,80.900337,2634535018,1439653936,1132317604,4095635725,1127137050,3,0.00778,0.00206, spo,0.0,-1.0,-1.0,-1.0,180.935059,-5.044263,55,10.14,0.00000,0.00000,-1.000,-1.000,1.000,59.940,21,-1
R05B25, spo,20180420_002211,1.0,0.184,6.428, CB4_35, 9.0,2018,04,19,15,22,11.500,48.2,39.1,180.185699,-2.803292,179.030991,-3.448131,95.177139,60.630062,1199560409,204029244,1368177732,773880269,1372270037,3,0.00620,0.00188, spo,0.0,-1.0,-1.0,-1.0,179.743851,-3.050280,44,0.39,0.00000,0.00000,-1.000,-1.000,1.000,59.940,12,-1
R05B25, spo,20180420_002439,2.5,0.284,5.038, CB4_35, 9.0,2018,04,19,15,24,39.530,72.0,27.5,158.628906,2.803921,159.031815,1.412809,249.440506,16.130545,2592111411,1439653936,1130009642,4032368135,1109294575,3,0.00552,0.00469, spo,0.0,-1.0,-1.0,-1.0,158.823792,2.131340,42,0.27,0.00000,0.00000,-1.000,-1.000,1.000,59.940,18,-1
R05B25, spo,20180420_002530,0.9,0.350,7.459, CB4_35, 9.0,2018,04,19,15,25,30.590,43.9,33.2,180.431946,-9.630192,178.722397,-10.177999,117.447487,69.516716,1197499933,204029244,1368186272,774678161,1348041019,3,0.00818,0.01077, spo,0.0,-1.0,-1.0,-1.0,179.461243,-9.942530,49,0.38,0.00000,0.00000,-1.000,-1.000,1.000,59.940,25,-1
R05B25, J5_hVi,20180420_002715,3.1,0.117,2.000, CB4_35, 9.0,2018,04,19,15,27,15.210,38.5,35.6,185.905334,-10.047847,185.749207,-9.993247,249.724075,68.119904,2636225940,1439653936,1131706932,4151534100,1132357825,3,0.00808,0.00191, J5_hVi,0.0,2.1,19.3,-11.6,185.809586,-10.014373,52,9.86,0.00000,0.00000,-1.000,-1.000,1.000,59.940,7,-1
R05B25, spo,20180420_002756,3.6,0.217,4.760, CB4_35, 9.0,2018,04,19,15,27,56.170,52.7,32.5,174.716507,-5.647934,174.574051,-6.674763,85.493492,7.807631,1193266522,204029244,1368655989,792355890,1348971141,3,0.00680,0.00119, spo,0.0,-1.0,-1.0,-1.0,174.652863,-6.107191,46,1.79,0.00000,0.00000,-1.000,-1.000,1.000,59.940,13,-1
R05B25, spo,20180420_003440,1.9,0.217,4.115, CB4_35, 9.0,2018,04,19,15,34,40.930,38.6,27.6,183.467712,-16.794264,183.324265,-17.830809,95.647697,7.183420,2637386834,1439653936,1131464564,4110197491,1111213257,3,0.00839,0.00171, spo,0.0,-1.0,-1.0,-1.0,183.411453,-17.202188,62,10.24,0.00000,0.00000,-1.000,-1.000,1.000,59.940,13,-1
R05B25, spo,20180420_004001,5.6,0.217,2.827, CB4_35, 9.0,2018,04,19,15,40,1.640,32.4,25.0,188.492981,-21.845575,188.000076,-22.332293,117.683495,39.349773,1196386540,204029244,1375671005,766418943,1358920976,3,0.00855,0.00186, spo,0.0,-1.0,-1.0,-1.0,188.349808,-21.987450,54,1.74,202.77443,-6.16696,25.920,-1.000,1.000,59.940,9,-1
R05B25, spo,20180420_004319,1.6,0.217,4.675, CB4_35, 9.0,2018,04,19,15,43,19.370,70.9,24.1,161.327606,-0.116716,160.668411,-1.048947,71.410126,35.260300,2595241239,1439653936,1130278000,4040707230,1111657475,3,0.00835,0.00353, spo,0.0,-1.0,-1.0,-1.0,161.063324,-0.490518,46,10.25,0.00000,0.00000,-1.000,-1.000,1.000,59.940,14,-1
R05B25, spo,20180420_004547,2.9,0.601,8.306, CB4_35, 9.0,2018,04,19,15,45,47.900,60.9,36.3,176.794876,1.726267,174.767807,-1.368204,85.663994,33.219280,1191947621,204029244,1368478029,794743220,1370612926,3,0.00863,0.00258, spo,0.0,-1.0,-1.0,-1.0,175.717697,0.082017,52,10.00,186.75348,16.81698,68.290,-1.000,1.000,59.940,30,-1
R05B25, spo,20180420_004914,6.9,0.067,10.648, CB4_35, 9.0,2018,04,19,15,49,14.150,38.0,37.4,192.753738,-8.642497,192.429703,-8.924327,112.445335,47.923710,2647222476,1439653936,1125047824,4131086431,1126244078,3,0.00816,0.00054, spo,0.0,-1.0,-1.0,-1.0,192.626343,-8.752713,54,10.06,0.00000,0.00000,-1.000,-1.000,1.000,59.940,4,-1
R05B25, spo,20180420_005441,6.8,0.100,3.033, CB4_35, 9.0,2018,04,19,15,54,41.620,29.2,33.3,198.703018,-15.611904,198.550171,-15.778791,122.015251,39.494717,1200347568,204029244,1374721105,599229347,1370417904,3,0.00701,0.00161, spo,0.0,-1.0,-1.0,-1.0,198.620728,-15.699225,43,0.42,0.00000,0.00000,-1.000,-1.000,1.000,59.940,5,-1
R05B25, spo,20180420_005726,2.6,0.450,1.903, CB4_35, 9.0,2018,04,19,15,57,26.970,55.8,41.6,186.213257,2.820703,185.345718,3.054670,286.525665,74.611481,2636337595,1439653936,1131737772,4150272746,1140292391,3,0.01028,0.00452, spo,0.0,-1.0,-1.0,-1.0,185.841141,2.921153,50,2.10,0.00000,0.00000,-1.000,-1.000,1.000,59.940,28,-1
R05B25, spo,20180420_012031,1.8,0.317,3.477, CB4_35, 9.0,2018,04,19,16,20,31.860,62.7,32.4,181.596512,0.062451,180.668274,-0.694314,91.519920,50.808456,1197970428,204029244,1368037462,778366573,1348949949,3,0.00863,0.00779, spo,0.0,-1.0,-1.0,-1.0,181.094116,-0.347162,52,2.72,0.00000,0.00000,-1.000,-1.000,1.000,59.940,22,-1
R05B25, spo,20180420_012633,-1.5,0.284,11.205, CB4_35, 9.0,2018,04,19,16,26,33.430,35.8,33.5,201.667007,-12.951921,199.679733,-14.912775,124.001663,42.887493,2644339597,1439653936,1125933253,4165237168,1119390844,3,0.00790,0.01987, spo,0.0,-1.0,-1.0,-1.0,200.277130,-14.328552,51,4.82,0.00000,0.00000,-1.000,-1.000,1.000,59.940,12,-1
R05B25, spo,20180420_012711,1.0,0.884,5.530, CB4_35, 9.0,2018,04,19,16,27,11.090,41.3,28.1,194.776794,-15.126377,189.856232,-14.774529,208.314362,74.461967,1200926953,204029244,1375115592,754685791,1355032424,3,0.00895,0.00412, spo,0.0,-1.0,-1.0,-1.0,192.641556,-14.986787,45,0.42,208.09103,-15.84906,71.660,-1.000,1.000,59.940,54,-1
R05B25, spo,20180420_013128,6.8,0.217,1.980, CB4_35, 9.0,2018,04,19,16,31,28.730,47.5,28.9,191.836517,-11.306211,191.541351,-11.854773,107.729271,27.180819,2646737421,1439653936,1124956882,4134505984,1122641126,3,0.00736,0.00256, spo,0.0,-1.0,-1.0,-1.0,191.811996,-11.351881,50,0.34,0.00000,0.00000,-1.000,-1.000,1.000,59.940,6,-1
R05B25, spo,20180420_013230,4.9,0.317,3.543, CB4_35, 9.0,2018,04,19,16,32,30.520,37.7,21.8,195.425812,-22.169388,194.533630,-23.016888,125.456490,40.050781,1201209249,204029244,1375051067,752519521,1397502378,3,0.00915,0.00209, spo,0.0,-1.0,-1.0,-1.0,194.961777,-22.612101,47,9.69,0.00000,0.00000,-1.000,-1.000,1.000,59.940,17,-1
R05B25, spo,20180420_013531,-3.4,0.167,15.397, CB4_35, 9.0,2018,04,19,16,35,31.830,29.3,30.9,207.783859,-17.793653,205.367981,-18.117519,182.013229,70.384521,2644589948,1439653936,1125460127,4218110247,1117480602,3,0.00821,0.00336, spo,0.0,-1.0,-1.0,-1.0,206.249832,-18.002903,55,0.40,0.00000,0.00000,-1.000,-1.000,1.000,59.940,12,-1
