Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(JST),M(JST),D(UT),H(UT),D(JST),H(JST),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta,1,2,3,4,5,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180421_011129,4.8,0.075,12.598, Osaka04-85_,9,2018,4,20,16,21,1,11,29.68,251.2,67.6,254.479141,38.90955,253.083282,38.737202,87.967308,50.305008,2627316468,1439653936,1136717753,3108283306,1185284065,3,0.00268,0.00207, spo,0,-1,-1,-1,253.867477,38.836174,115,0.19,0,0,-1,-1,1,119.88,9,-1
R05B25, spo,20180421_011728,3.8,0.234,7.509, Osaka04-85_,9,2018,4,20,16,21,1,17,28.78,265.3,60.1,264.167603,31.858503,265.951843,31.877487,86.419006,58.121658,1160815628,204029244,1361692617,1669823417,1419681394,3,0.00238,0.00105, spo,0,-1,-1,-1,265.122528,31.871763,112,0.22,116.73037,-29.91174,21.26,-1,1,119.88,27,-1
R05B25, spo,20180421_012222,5,0.175,3.94, Osaka04-85_,9,2018,4,20,16,21,1,22,22.34,262.5,53.8,272.98819,31.51462,273.30188,30.835102,14.700291,18.317976,2674122815,1439653936,1139519400,3088828623,1171649736,3,0.00198,0.00155, spo,0,-1,-1,-1,273.142517,31.181654,100,0.19,51.17558,-34.23389,12,-1,1,119.88,20,-1
R05B25, spo,20180421_013501,3.2,0.175,3.422, Osaka04-85_,9,2018,4,20,16,21,1,35,1.64,261.6,50,280.62912,30.897875,280.571381,31.531597,12.91366,3.810854,1164848361,204029244,1360009826,1660584913,1475308804,3,0.00258,0.00157, spo,0,-1,-1,-1,280.603546,31.179466,118,0.23,282.33102,18.59156,35.13,-1,1,119.88,22,-1
R05B25, spo,20180421_013724,3,0.526,14.201, Osaka04-85_,9,2018,4,20,16,21,1,37,24.46,267.8,56.8,272.355988,29.626535,280.113098,32.727055,318.241211,-50.752182,2675852184,1439653936,1139457121,3088144649,1172818259,3,0.00248,0.00178, spo,0,-1,-1,-1,276.03125,31.178988,112,0.19,212.65234,-13.27938,27.41,-1,1,119.88,63,-1
R05B25, spo,20180421_015721,4.9,0.175,1.853, Osaka04-85_,9,2018,4,20,16,21,1,57,21.45,239.7,60,275.63266,44.461971,276.094421,44.442169,90.960548,45.442692,1165155672,204029244,1360586399,1648757917,1425168199,3,0.00231,0.00252, spo,0,-1,-1,-1,275.82486,44.453957,137,0.22,265.34705,45.04483,24.88,-1,1,119.88,17,-1
R05B25, spo,20180421_020002,5.4,0.067,14.068, Osaka04-85_,9,2018,4,20,17,21,2,0,2.34,259.1,63.2,271.943085,35.366901,273.08786,35.811821,311.907501,-47.197613,2675826821,1439653936,1139417537,3093855438,1188752158,3,0.00218,0.00287, spo,0,-1,-1,-1,272.453339,35.567162,121,0.18,0,0,-1,-1,1,119.88,9,-1
R05B25, spo,20180421_021600,4,0.133,6.058, Osaka04-85_,9,2018,4,20,17,21,2,16,0.46,270.6,52.9,285.566833,26.660744,284.899353,27.087378,47.478817,46.474251,1162594789,204029244,1359562088,1630278958,1460653330,3,0.00243,0.00099, spo,0,-1,-1,-1,285.197662,26.897493,151,0.22,351.47064,-23.89502,14.22,-1,1,119.88,17,-1
R05B25, __flash,20180421_022948,4.2,0.058,20.98, Osaka04-85_,9,2018,4,20,17,21,2,29,48.86,250.5,64.2,278.509857,39.23093,278.815643,40.711433,2.856105,-6.880064,2667817644,1439653936,1139035334,3103134421,1183828991,3,0.00245,0.00125, __flash,0,-1,-1,-1,278.608429,39.715218,166,0.24,0,0,-1,-1,1,119.88,8,-1
R05B25, spo,20180421_023633,4.2,0.275,5.205, Osaka04-85_,9,2018,4,20,17,21,2,36,33.01,235,70.2,271.035095,44.093014,272.778595,43.229225,47.141609,36.64238,1159148594,204029244,1360935533,1645923314,1442304576,3,0.00287,0.00188, spo,0,-1,-1,-1,271.859497,43.690975,201,0.23,73.81872,-34.18432,13.75,-1,1,119.88,34,-1
R05B25, J5_Lyr,20180421_023923,3,0.409,4.994, Osaka04-85_,9,2018,4,20,17,21,2,39,23.47,241.8,66.4,277.584991,42.618824,279.680511,44.038994,332.254669,-32.148148,2669443830,1439653936,1138946897,3100017711,1185372439,3,0.0025,0.00243, J5_Lyr,0,2.5,51.8,7.9,278.468933,43.230671,174,0.21,264.82526,31.69571,31.9,-1,1,119.88,48,-1
R05B25, J5_Lyr,20180421_024257,5.4,0.092,5.355, Osaka04-85_,9,2018,4,20,17,21,2,42,57.79,273.3,61.2,282.951111,28.418789,283.13385,28.193335,31.737,30.757727,1163708027,204029244,1359851338,1656866043,1421932584,3,0.00263,0.00376, J5_Lyr,0,4.6,58.2,21.2,283.076233,28.264561,191,0.22,0,0,-1,-1,1,119.88,9,-1
R05B25, spo,20180421_024608,3.1,0.158,13.307, Osaka04-85_,9,2018,4,20,17,21,2,46,8.66,262.3,53.7,294.158813,31.555029,296.333984,32.868828,348.491974,-43.514259,2684194613,1439653936,1133206269,3153951959,1166595632,3,0.00256,0.00185, spo,0,-1,-1,-1,295.074554,32.117306,196,0.22,270.22318,12.1125,62.12,-1,1,119.88,20,-1
R05B25, spo,20180421_024627,3.2,0.492,10.216, Osaka04-85_,9,2018,4,20,17,21,2,46,27.58,244.3,63.5,283.523407,41.966312,290.328766,41.672955,101.974068,48.023273,1163889937,204029244,1359763589,1657419053,1413466279,3,0.00271,0.00162, spo,0,-1,-1,-1,286.779846,41.876415,187,0.22,179.73001,-9.56805,17.57,-1,1,119.88,60,-1
R05B25, spo,20180421_025147,4.5,0.292,6.165, Osaka04-85_,9,2018,4,20,17,21,2,51,47.41,242.2,61.1,287.995941,43.127319,285.440521,43.071907,109.206512,46.866299,2681746212,1439653936,1139951412,3138677133,1189835923,3,0.00254,0.00163, spo,0,-1,-1,-1,286.884064,43.11021,187,0.23,308.05588,41.81111,44.32,-1,1,119.88,36,-1
R05B25, J5_Lyr,20180421_025608,3.8,0.175,5.017, Osaka04-85_,9,2018,4,20,17,21,2,56,8.05,254,64.4,284.86203,37.701546,285.961914,38.045624,318.254547,-47.207874,1162337595,204029244,1359634188,1629606470,1416362262,3,0.00254,0.00109, J5_Lyr,0,1.4,47.3,-1.4,285.343781,37.853909,204,0.22,270.63647,32.11805,42.16,-1,1,119.88,22,-1
R05B25, spo,20180421_025800,3.6,0.108,14.571, Osaka04-85_,9,2018,4,20,17,21,2,58,0.66,273.8,54.2,293.881104,25.463837,295.5112,25.199421,92.017105,62.837246,2684086257,1439653936,1133178194,3153502613,1166168169,3,0.0023,0.00202, spo,0,-1,-1,-1,294.683868,25.336481,187,0.25,223.2433,18.49497,33.39,-1,1,119.88,14,-1
R05B25, spo,20180421_030007,4,0.292,7.969, Osaka04-85_,9,2018,4,20,18,21,3,0,7.92,243.1,66,283.530762,42.173199,280.237854,42.187572,101.381798,47.806744,1163885089,204029244,1359758786,1657411294,1436235914,3,0.00258,0.00154, spo,0,-1,-1,-1,282.069305,42.191204,186,0.21,320.91287,35.45629,28.69,-1,1,119.88,36,-1
R05B25, spo,20180421_031434,4.9,0.125,7.726, Osaka04-85_,9,2018,4,20,18,21,3,14,34.95,249.4,67.5,285.463287,39.550636,286.760529,39.377407,90.888702,49.52655,2670443744,1439653936,1140722053,3142202676,1197515341,3,0.00267,0.00217, spo,0,-1,-1,-1,286.114227,39.465622,209,0.19,260.03745,40.12262,43.8,-1,1,119.88,15,-1
R05B25, spo,20180421_031547,2.3,0.259,15.443, Osaka04-85_,9,2018,4,20,18,21,3,15,47.96,275.6,57.6,294.368652,25.948818,293.245087,29.92588,30.481758,12.343813,1167930749,204029244,1367101687,1637814524,1424205080,3,0.00243,0.00163, spo,0,-1,-1,-1,293.891968,27.673048,208,0.25,0,0,-1,-1,1,119.88,32,-1
R05B25, spo,20180421_031709,4.7,0.075,10.963, Osaka04-85_,9,2018,4,20,18,21,3,17,9.6,268.5,63.3,290.090485,31.193527,289.460632,30.660435,351.917023,-37.947048,2680433174,1439653936,1140152706,3141103367,1184678858,3,0.00287,0.004, spo,0,-1,-1,-1,289.796967,30.949772,219,0.21,0,0,-1,-1,1,119.88,10,-1
R05B25, J5_Lyr,20180421_032022,3.7,0.192,8.883, Osaka04-85_,9,2018,4,20,18,21,3,20,22.5,271.3,60.5,293.478241,29.083235,295.467651,28.545052,81.832184,56.840969,1167612541,204029244,1367154847,1636956042,1422577825,3,0.00244,0.00189, J5_Lyr,0,0.9,55.7,16,294.3479,28.852243,201,0.21,251.08575,32.64405,27.6,-1,1,119.88,24,-1
R05B25, spo,20180421_032102,5.5,0.092,1.241, Osaka04-85_,9,2018,4,20,18,21,3,21,2.44,257.3,56.4,300.656097,35.025414,300.510559,34.962639,343.138367,-46.458313,2676031460,1439653936,1132784592,3125411115,1180931369,3,0.00237,0.00184, spo,0,-1,-1,-1,300.602814,35.002464,207,0.22,0,0,-1,-1,1,119.88,10,-1
R05B25, spo,20180421_032418,3.7,0.075,31.1, Osaka04-85_,9,2018,4,20,18,21,3,24,18.36,250.6,60.6,296.838989,39.047596,297.35556,41.666,21.535364,-6.500959,1166739108,204029244,1366834657,1642715090,1412196087,3,0.00237,0.00155, spo,0,-1,-1,-1,297.044525,40.114071,187,0.17,0,0,-1,-1,1,119.88,10,-1
R05B25, J5_Lyr,20180421_032821,4,0.133,13.489, Osaka04-85_,9,2018,4,20,18,21,3,28,21.44,259.7,52.6,306.504669,32.766144,308.41217,32.40546,104.839577,55.295738,2678221286,1439653936,1134364420,3123417476,1174211135,3,0.00258,0.00228, J5_Lyr,0,0.1,65.3,36,307.525055,32.577148,221,0.2,0,0,-1,-1,1,119.88,17,-1
R05B25, spo,20180421_033816,1.4,0.167,16.535, Osaka04-85_,9,2018,4,20,18,21,3,38,16.36,229.7,61.9,296.83139,48.811943,300.517273,49.481712,138.834091,39.053505,1166744048,204029244,1366831308,1642723166,1412048231,2,0.00237,0.00547, spo,0,-1,-1,-1,298.817291,49.189621,202,0.2,259.55692,32.49709,63.94,-1,1,119.88,21,-1
R05B25, spo,20180421_034307,5.2,0.217,1.475, Osaka04-85_,9,2018,4,20,18,21,3,43,7.72,255,59.2,303.080353,36.699562,303.415039,36.575546,85.514,46.760872,2676937628,1439653936,1134065764,3121627400,1177722968,3,0.00276,0.00245, spo,0,-1,-1,-1,303.229584,36.644428,224,0.22,296.12842,42.10759,13,-1,1,119.88,22,-1
R05B25, spo,20180421_035614,5,0.075,8.199, Osaka04-85_,9,2018,4,20,18,21,3,56,14.9,253.3,53.7,313.237274,36.72839,313.91925,36.275627,79.341637,38.29932,1143657364,204029244,1365252205,1624903006,1464417616,3,0.0026,0.00189, spo,0,-1,-1,-1,313.503571,36.552685,205,0.22,0,0,-1,-1,1,119.88,10,-1
R05B25, spo,20180421_035829,3.9,0.092,14.476, Osaka04-85_,9,2018,4,20,18,21,3,58,29.15,239.4,58.6,307.893188,44.686337,308.764893,46.116665,21.381126,-16.031794,2678746683,1439653936,1134498425,3133186557,1178377895,3,0.00261,0.00161, spo,0,-1,-1,-1,308.186432,45.176353,208,0.21,0,0,-1,-1,1,119.88,12,-1
R05B25, spo,20180421_035834,3.2,0.325,4.969, Osaka04-85_,9,2018,4,20,18,21,3,58,34.39,264.8,53.1,312.486145,29.963013,311.821655,28.40589,31.855696,-17.744383,1143284695,204029244,1365320843,1626243169,1465359341,3,0.00268,0.00183, spo,0,-1,-1,-1,312.188782,29.272448,188,0.23,320.64395,44.107,36.63,-1,1,119.88,40,-1
R05B25, spo,20180421_040454,4.9,0.175,0.505, Osaka04-85_,9,2018,4,20,19,21,4,4,54.92,263.3,65.7,299.863373,33.915154,299.861725,33.97224,30.63628,1.149344,2677820736,1439653936,1132674281,3126507730,1197886085,3,0.00277,0.0021, spo,0,-1,-1,-1,299.863007,33.927685,184,0.25,104.45656,-35.9036,36.29,-1,1,119.88,8,-1
R05B25, spo,20180421_040641,5.1,0.117,8.846, Osaka04-85_,9,2018,4,20,19,21,4,6,41.79,250.4,65.5,301.148682,39.207195,302.166077,38.700008,76.100983,40.894344,1172588054,204029244,1366447516,1611787777,1436532419,3,0.00248,0.002, spo,0,-1,-1,-1,301.623016,38.972736,195,0.22,0,0,-1,-1,1,119.88,14,-1
R05B25, spo,20180421_041225,1.5,0.359,18.199, Osaka04-85_,9,2018,4,20,19,21,4,12,25.02,269.5,53.3,314.542328,27.399998,309.955383,32.797562,62.525791,30.779089,2658173224,1439653936,1135171688,3176257319,1181812350,3,0.00235,0.00117, spo,0,-1,-1,-1,312.616669,29.757341,179,0.2,0,0,-1,-1,1,119.88,44,-1
R05B25, spo,20180421_041503,5.1,0.142,3.705, Osaka04-85_,9,2018,4,20,19,21,4,15,3.71,261.1,59.6,309.900604,33.681511,310.351257,34.111481,14.243876,-33.010891,1144390859,204029244,1365603061,1619244550,1411962356,3,0.00248,0.00186, spo,0,-1,-1,-1,310.098358,33.870922,191,0.18,113.19085,-43.05132,19.68,-1,1,119.88,18,-1
R05B25, spo,20180421_041747,5.2,0.117,6.139, Osaka04-85_,9,2018,4,20,19,21,4,17,47.6,266.1,55.7,314.131836,30.053827,314.187927,29.461435,46.495937,4.077814,2655935137,1439653936,1135133394,3131633674,1182442887,3,0.00272,0.00338, spo,0,-1,-1,-1,314.166595,29.68767,196,0.19,0,0,-1,-1,1,119.88,13,-1
R05B25, spo,20180421_041747,5,0.142,2.765, Osaka04-85_,9,2018,4,20,19,21,4,17,47.6,235.7,70.7,295.846832,43.660168,296.313446,43.707191,127.487785,45.744843,1166454857,204029244,1366991824,1643667573,1427667053,3,0.00272,0.00218, spo,0,-1,-1,-1,296.102325,43.686161,196,0.19,263.26004,38.18395,12,-1,1,119.88,17,-1
R05B25, spo,20180421_042302,5,0.158,2.033, Osaka04-85_,9,2018,4,20,19,21,4,23,2.15,252.9,65.6,305.114563,38.153778,305.378082,38.35622,2.916346,-34.147343,2679792924,1439653936,1134263093,3123857042,1199436903,3,0.00249,0.00223, spo,0,-1,-1,-1,305.243439,38.252998,179,0.21,0,0,-1,-1,1,119.88,18,-1
R05B25, spo,20180421_042423,4.2,0.601,2.61, Osaka04-85_,9,2018,4,20,19,21,4,24,23.78,262.4,53.2,319.264618,31.366781,317.457733,31.068449,158.789993,57.105114,1141657254,204029244,1364670905,1736398159,1420979415,3,0.00261,0.00164, spo,0,-1,-1,-1,318.524323,31.247833,175,0.22,338.19012,31.92765,21.83,-1,1,119.88,72,-1
R05B25, spo,20180421_042957,4.3,0.075,12.596, Osaka04-85_,9,2018,4,20,19,21,4,29,57.8,255.3,61.2,312.215393,36.776714,311.810608,37.833755,52.473488,13.400865,2655345666,1439653936,1133899619,3129537322,1184717395,3,0.00257,0.0016, spo,0,-1,-1,-1,312.065399,37.17205,145,0.3,0,0,-1,-1,1,119.88,10,-1
R05B25, spo,20180421_043634,2.6,0.275,22.602, Osaka04-85_,9,2018,4,20,19,21,4,36,34.02,247.1,70.2,302.351746,40.055073,310.061951,42.339474,337.054718,-44.360188,1173056887,204029244,1366302499,1610991568,1440304469,3,0.00272,0.00172, spo,0,-1,-1,-1,305.805206,41.160805,107,0.19,250.55649,3.8584,47.52,-1,1,119.88,34,-1
