,rcs_dBsm,collection_area
146,1.3567839195979943,568.7874233835835
147,1.7085427135678444,583.9987322689263
148,2.0603015075376945,596.8994625894071
149,2.4120603015075446,609.6076446961494
150,2.7638190954773876,622.7009232303686
151,3.1155778894472377,635.4091053371109
152,3.467336683417088,647.1545463751604
153,3.819095477386938,671.8007177336907
154,4.170854271356788,716.6644515347656
155,4.522613065326638,746.8945210917129
156,4.874371859296488,773.8512710151055
157,5.226130653266338,801.5782137934522
158,5.577889447236181,826.6094815794596
159,5.929648241206031,848.3674297319122
160,6.2814070351758815,876.6720171514744
161,6.633165829145732,908.4424724183299
162,6.984924623115582,936.3619634104151
163,7.336683417085432,966.2069365398855
164,7.688442211055282,999.5177775166491
165,8.040201005025132,1031.86587742472
166,8.391959798994982,1059.0151755618513
167,8.743718592964825,1084.8166362028128
